cluster_id,x,y,z
0,488.57806396484375,-102.29327392578125,92.32270050048828
1,197.55213928222656,128.4877471923828,-157.82936096191406
2,-118.27425384521484,272.0033264160156,51.0864143371582
3,43.140743255615234,-152.252685546875,-122.19538116455078
4,5.612229347229004,-111.94631958007812,55.12299346923828
5,-257.3796081542969,104.0451889038086,-40.7258415222168
6,-59.402095794677734,375.68603515625,166.49395751953125
7,5.173614978790283,-159.8458251953125,340.51153564453125
8,67.38262939453125,62.724571228027344,55.30087661743164
9,-70.38526153564453,145.71409606933594,123.39944458007812
10,271.4742126464844,-53.09192657470703,-21.49284553527832
11,-71.60653686523438,55.51460266113281,-184.36849975585938
12,85.51468658447266,-36.696956634521484,455.3710021972656
13,-224.11619567871094,61.883155822753906,-238.39752197265625
14,-304.9527893066406,-25.185733795166016,45.28968048095703
15,145.1414337158203,-132.67132568359375,92.50736999511719
16,174.9835662841797,107.49537658691406,-394.4339904785156
17,30.20939826965332,-62.221649169921875,-30.8945369720459
18,-202.938232421875,273.22027587890625,-75.14273071289062
19,-10.933980941772461,37.08514404296875,420.59356689453125
20,-120.28044891357422,435.94818115234375,-90.16372680664062
21,262.7149658203125,47.11594009399414,103.89765167236328
22,128.22064208984375,-268.7560729980469,52.83898162841797
23,-8.047703742980957,-133.90695190429688,181.20553588867188
24,48.402671813964844,146.78919982910156,175.0734405517578
25,-260.9994812011719,78.86259460449219,300.52813720703125
26,-327.7303161621094,-82.06678771972656,-66.07328796386719
27,83.75090789794922,245.67550659179688,-68.25666046142578
28,-150.86241149902344,405.98028564453125,62.398101806640625
29,-195.87745666503906,-63.326866149902344,-115.64209747314453
30,149.5594482421875,-18.114980697631836,-16.322458267211914
31,-239.2736053466797,-219.4668426513672,20.886871337890625
32,-146.21827697753906,157.79612731933594,-181.96827697753906
33,-375.2319641113281,101.05679321289062,165.35752868652344
34,56.19188690185547,254.8742218017578,300.0929870605469
35,-57.47760009765625,-45.043758392333984,312.00799560546875
36,108.74983215332031,-30.61832046508789,-153.61212158203125
37,237.7962646484375,-43.80805206298828,258.16241455078125
38,77.69884490966797,100.14815521240234,-105.64038848876953
39,-127.78266906738281,-209.4986114501953,206.17605590820312
40,-199.8104705810547,89.6617431640625,158.4525604248047
41,-67.53553771972656,-222.90000915527344,-154.1569061279297
42,-268.4959716796875,210.30178833007812,75.73657989501953
43,-137.97900390625,-40.70319366455078,193.8594970703125
44,-71.53385925292969,267.3142395019531,-71.2876205444336
45,-163.51649475097656,186.989990234375,301.28253173828125
46,60.406986236572266,-253.19419860839844,-220.76376342773438
47,159.74371337890625,-8.76806640625,120.92788696289062
48,173.2200164794922,-171.61585998535156,-133.69065856933594
49,-87.6073989868164,-211.0635223388672,464.6133728027344
50,-211.15353393554688,-155.14328002929688,-196.19683837890625
51,91.2096176147461,-228.64462280273438,249.00221252441406
52,91.67376708984375,199.26699829101562,41.03809356689453
53,-54.382240295410156,18.05234146118164,76.14769744873047
54,-346.9175109863281,227.26942443847656,-158.8177947998047
55,295.66546630859375,-80.5405044555664,162.67401123046875
56,-159.571044921875,-192.997314453125,388.7244873046875
57,427.9216003417969,-0.9239737391471863,-143.7222137451172
58,-100.72759246826172,134.58946228027344,-308.03338623046875
59,72.32723999023438,-61.20395278930664,-257.408935546875
60,157.31861877441406,318.74859619140625,-166.98553466796875
61,73.91661834716797,-38.26185989379883,297.9176940917969
62,-80.42024993896484,297.27813720703125,-226.444580078125
63,120.60255432128906,187.48269653320312,-422.7987060546875
64,388.82354736328125,-50.01601028442383,47.44983673095703
65,-88.2707748413086,-125.07066345214844,-30.41196632385254
66,-45.721946716308594,-316.62384033203125,413.2273864746094
67,-150.12017822265625,266.16497802734375,174.04595947265625
68,-6.521425247192383,11.187158584594727,216.58953857421875
69,117.25145721435547,319.74951171875,41.025386810302734
70,-13.914689064025879,180.820068359375,7.900463104248047
71,173.83824157714844,324.65655517578125,190.41268920898438
72,-299.4281921386719,-102.4926528930664,172.9413604736328
73,-362.55511474609375,237.93492126464844,-11.230840682983398
74,285.33612060546875,233.95184326171875,6.278626918792725
75,122.66355895996094,-315.82574462890625,-78.68518829345703
76,-142.87704467773438,-269.9091796875,104.57035827636719
77,100.82832336425781,250.06422424316406,-237.50521850585938
78,195.25631713867188,170.0025177001953,175.56771850585938
79,13.82612133026123,264.8769836425781,110.52933502197266
80,-20.651765823364258,88.2213363647461,-48.30349349975586
81,-32.46725845336914,-21.36685562133789,-376.4212646484375
82,-41.00056838989258,108.94645690917969,288.5430908203125
83,8.949150085449219,-238.1946563720703,16.420726776123047
84,245.707275390625,-192.98178100585938,348.7315368652344
85,234.4724884033203,73.1285400390625,-3.1949362754821777
86,139.074462890625,96.04576873779297,298.662841796875
87,-130.69810485839844,164.90170288085938,-4.510250568389893
88,-13.025736808776855,169.65907287597656,-182.38458251953125
89,-192.36514282226562,-18.1567325592041,75.38787078857422
90,-49.16862487792969,-83.7404556274414,-209.6646728515625
91,219.82144165039062,-159.5582733154297,8.28141975402832
92,-121.78990173339844,29.174657821655273,-46.954341888427734
93,-133.71685791015625,-311.6321105957031,-27.896493911743164
94,-252.82083129882812,434.046142578125,-120.46623992919922
95,264.0013122558594,-5.2145538330078125,-225.9337921142578
96,29.735774993896484,-430.9266662597656,91.5588150024414
97,-223.62840270996094,-330.81024169921875,71.79751586914062
98,297.4914855957031,-272.8740234375,-32.38278579711914
99,78.45755767822266,-163.37014770507812,-11.792519569396973
