,cluster_id,x,y,count,frequent_words
0,0,-7.194375991821289,5.4646430015563965,579,"construction, building, contractors"
1,1,-5.320511817932129,5.176976203918457,938,"repair, automotive, maintece"
2,2,-4.703420639038086,7.772904872894287,2614,"services, software"
3,3,-7.233185768127441,3.4957180023193364,3475,"government, united, services"
4,4,-7.412673473358153,3.8764374256134033,2717,"services, car"
5,5,-5.328163623809815,6.135962963104247,3005,"services, media"
6,6,-3.544785022735596,9.36935043334961,1254,"services, business, software"
7,7,-4.239753723144531,8.238882064819336,1172,"real, estate, services"
8,8,-6.50629186630249,8.759573936462402,1950,"services, co, transportation"
9,9,-4.494399547576903,6.589824676513673,2425,"services, software"
10,10,-6.46769380569458,3.7364835739135738,1849,"5, 1826, casting"
11,11,-3.135545492172241,6.826602458953857,2421,"gas, transportation, stations"
12,12,-7.577982425689697,6.6891212463378915,1018,"printing, publishing, commercial"
13,13,-1.9099020957946775,5.900919437408447,369,"services, software, computers"
14,14,-3.756769895553589,5.380899906158447,1218,"services, businesses, legal"
15,15,-6.4438114166259775,3.1006875038146973,2149,"postal, services, service..."
16,16,-3.869129896163941,2.575116872787476,808,"services, computer, software"
17,17,-6.350277900695801,3.0708131790161133,2373,"services, business"
18,18,-4.091844558715819,6.9529356956481925,1659,"services, business, other"
19,19,-8.313981056213379,6.08284854888916,2658,"retail, stores, shopping"
20,20,-3.86064887046814,8.200029373168945,2003,"real, estate, agents"
21,21,-6.5965962409973145,3.8569235801696777,2184,"offices, c..., of"
22,22,-7.776155948638916,4.052856922149658,2840,"services, of"
23,23,-8.805150985717773,8.417076110839844,1081,"religious, community, churches"
24,24,-4.370168209075929,5.696945667266847,2086,"services, business, businesses"
25,25,-3.3626558780670166,6.5706467628479,2435,"services, software, healthcare"
26,26,-6.029391288757324,10.099688529968262,1670,"legal, services, office"
27,27,-5.117692470550537,7.8041343688964835,2224,"software, information, technology"
28,28,-5.074652194976807,8.797581672668457,870,"colorado, gas, transportation"
29,29,-6.1211304664611825,9.108648300170898,1681,"healthcare, offices, clinics"
30,30,-6.5454277992248535,3.862065076828003,1918,"5, 1913, 1894"
31,31,-7.460338115692139,10.356048583984377,418,"healthcare, health, mental"
32,32,-2.8488337993621826,6.526196002960205,2188,"services, consumer"
33,33,-5.095644474029541,6.360459804534912,3223,"software, data, health"
34,34,-9.171575546264648,8.207683563232424,1204,"education, community, government"
35,35,-6.640411853790282,6.8459415435791025,3038,"services, consumer"
36,36,-6.274423122406006,2.524566173553467,2050,"services, business, businesses"
37,37,-7.171109676361084,6.225592613220215,1198,"design, services, graphic"
38,38,-5.245398998260498,7.238162517547607,3394,"oil, gas, energy"
39,39,-7.439898490905763,9.090054512023926,1913,"healthcare, clinics, medical"
40,40,-4.183485031127931,4.76494026184082,1042,"consulting, services, business"
41,41,-7.169778347015381,2.391282081604004,1323,"real, estate, agents"
42,42,-4.365998268127441,8.077932357788086,1423,"ficial, services, investment"
